Company Name,Stake Address,Meks,Cumulative Gold,Gold Per Hour,Gold Spent,First Connected
"WrenCo","stake1u8zevs34vf4wrsz6xs64zuztdk4agzvpg6c8zv4plesp9ughgq076","42","1350956.14","1555.98","710500.00","Oct 6 2025"
"AUmining","stake1u9sjc4ug2n4t7h3te2sqpvk6vda98zn5248lx0kp3hzzrygeajf8r","253","9074804.64","7546.53","255400.00","Oct 7 2025"
"Sellout","stake1uyxagtdj272hc2kchjvzul43fn34x6e4zx3ew8hcvyn5ycg37rd69","8","1258627.53","1342.05","510800.00","Oct 7 2025"
"StatueCorp","stake1u9jntq37e0s2vgygrsmhwyyevclxm95gkhz3yrxwf4ats5q8kjw7c","19","2520833.58","2348.03","270800.00","Oct 8 2025"
"Stellar Depletion Syndicate","stake1u8q4f0qaumlvxkwqjgx373wf0hw24xyeq3jvz0kku4njyvqmhnk4h","122","6233870.85","11142.56","5966350.00","Oct 8 2025"
"UltraCo","stake1uxvzmsma3wkunmxwd3tz5yuc4p0aps5p4weku9d6cc7jvrshranf5","3","11021.45","8.85","0.00","Oct 8 2025"
"Traiectum","stake1u99pdfrwvzlds7x7w8wypcs25tm6v9akjc50hw5qn47rxtcfh6vpj","13","107138.53","86.03","0.00","Oct 9 2025"
"SargeCorp","stake1uxjfldsm5nxc2my58g5jp5lz3pyddj4kglr7lnu4l0t9rvg5qr6n7","162","16921641.61","21201.75","5782150.00","Oct 10 2025"
"NFG","stake1uy49gshxefz0aypl43sd8dqq5cp0y3n6ngfj3ey4emjtjjqaxdngj","1","2706.54","3.19","1850.00","Oct 11 2025"
"defifomofo","stake1u9hq39q3qd4uuxpm2tv5tm7xfa2nk4g68mmve5dgv7pnq7gy0gnzg","2","182859.79","183.55","19700.00","Oct 11 2025"
"Kotton","stake1u8zh5uzg8wv3pm7q93903xeevsne8sakh4v3yxlvphjzlpqjnjd93","3","54905.82","44.40","550.00","Oct 11 2025"
"Andypro500","stake1uy2vcs00nmus605w6pe9qd4t473qxwx8xz56gncfhwksfjqqtl8s8","2","5189.26","4.17","0.00","Oct 11 2025"
"HADI","stake1u9djwzm38xh29ym65uj4ngp2sv60zy54xxqgtwryzt6v0jqeh25ur","16","1112139.15","1095.63","111500.00","Oct 11 2025"
"LX","stake1uxtyshmvedacqes50vkepwqj8mqtv0dzlxyuud2vr0lxahqwn9zay","6","713825.01","708.19","51400.00","Oct 11 2025"
"MTman","stake1uy5p99amz8fqyej2749jn36xxnrmwwlkcddrlmqcelxdyngt64pw5","10","961529.77","1081.50","638500.00","Oct 11 2025"
"biko1","stake1uy2fs38ce4c44l5496358sqlmdxw09rktrqwaf5nj0ce7cqpnzruq","11","77189.13","62.28","0.00","Oct 11 2025"
"Spannercorps","stake1u8653j3mcjks5d304g6eexryse7ma22erw8p05fsvefem8qklu7w7","34","1646985.59","2874.02","1415650.00","Oct 11 2025"
"Mako","stake1uxzcz0wg7jl65dmw6psqkqh0dl5tm2vzh6m4d43hvrewyjqlv0lyp","6","84436.53","68.30","0.00","Oct 11 2025"
"ChilliMiner","stake1u9ca56k5t3t8d3u7utvk46uwrs7nzs9xggn2mypwm27223g764026","2","12788.36","14.85","700.00","Oct 12 2025"
"Kryptoknight","stake1u84jyw2effrlljugey76gj5e59yxqwfvah739pxdg8w77as8zuklq","8","1039884.70","1521.75","510800.00","Oct 12 2025"
"Argent 9999","stake1u9408klzk3cqqng32488zyy4j6m73us9egvkcjkw24ppguq9c969w","108","13417192.74","9995.23","8939000.00","Oct 12 2025"
"KA1111","stake1uxunv3jn3ujudlrjxeacllg4q65pyxm0tu5ulrpsr68r96saqnd9j","25","1576413.22","2139.99","1196250.00","Oct 13 2025"
"BurgleCorps","stake1ux483fgs5evhe09dqrtga5k8fqwul89jf5k3vnapfxzj98cucgkdq","23","208933.90","178.56","0.00","Oct 14 2025"
"Ken1320","stake1u9nzkwegktqjedttxfcs58a8gvddkdhhdg2g9frctyvca3sjxymgm","1","19898.93","17.21","0.00","Oct 15 2025"
"hamfish","stake1uyj3an8q67ygg6s37gaqap8cd4u43hnr9mswcjw0z8txyhs2ydn5a","11","350489.72","702.89","319350.00","Oct 15 2025"
"sora","stake1uy5p672pvdz4pz8h0qfxmzeaemp4txp84um0yqnpy03r4xgucuzqm","1","24872.00","64.85","7850.00","Oct 15 2025"
"Jr","stake1u9xkd5frrclspy9t4n4cscp8n7efylefvc4rc7y4caqrtvq2kfrdg","1","5420.73","7.22","1850.00","Oct 17 2025"
"W Corp","stake1uxwtueq5p2lxqdnnvgq2900kc9xg2we6z8cwhjq65ry726q23vzmy","25","4036635.82","4917.15","1596250.00","Oct 17 2025"
"ikarus","stake1u9l5zc4fce0szzram6vs8ja8xuahxzrxssf7vumrjrgzkegty84qn","54","5078638.34","7210.80","3447900.00","Oct 18 2025"
"Mojamtz","stake1u8dleeg4p50hw42wn377t72tzh5k876ng7zwhsvmxnqlnsqw3vtdp","1","17248.00","23.60","7850.00","Oct 20 2025"
"argh","stake1uy50sgyajgqc3prvtpz22d44m5j8my8z2djw32r6rt0sytcg833zl","8","51647.54","49.75","0.00","Oct 20 2025"
"Big ol Ringy Bingy","stake1uxtm0zmdg3ahz7vfhayjyx9e9mm5y9pucvfw4nfkmjcfeusfm4622","22","4762803.80","5840.40","1404700.00","Oct 20 2025"
"MekGold","stake1u9ckx4f8qc0zk70f4mau89dw05w6hfkzrc2fev5rx73yk5q0tywnf","6","56755.38","56.28","0.00","Oct 21 2025"
"goldmine","stake1uyqrlp6rectfhl2ckyqzm2agt2gsq3pav5rwjt9q8a96n8cyczxcu","1","6693.72","7.09","0.00","Oct 24 2025"
"FourFiveJeff","stake1uyhk5n3wa3l98fjdg7u30tm4cg9jz9t9pmzvfscyus73zfs3wwd46","26","144035.94","172.91","0.00","Oct 28 2025"
"Arrowhead Integrated Solutions","stake1u8ueuks8du20rkr8vmnrnn832sx0z5f6pp6rte22yxsuhgg6w3cql","1","1327.91","1.60","0.00","Oct 28 2025"
"Benzington","stake1ux398mg73ksqgtzzr96sl97c2q6hezdnk8cq7tmpqyqkvfsldkzjt","3","46349.46","81.56","3550.00","Nov 5 2025"
"Livelovelevelup","stake1u8u5qplff52zvum0qs58hw8pkvmr3dj29w5t59fakttdctcgz3v6q","4","8777.71","14.39","0.00","Nov 7 2025"
"BLove","stake1uys6hmce9wendygqt2yg42h5apu3egqdwsv745d8d0cra6s4vwzch","7","48514.28","84.64","2950.00","Nov 7 2025"
"Cracksey","stake1u8347sec05mzpsqrfasvudx6kq64pru0chpcy4psquj2yugktwlzy","5","10164.47","19.71","0.00","Nov 10 2025"
"saturnine llc","stake1u8ezwsvnyedglsmddyjnefkvyteu2c67c9ze9r44af9hnhqg4z7up","0","45.58","0.00","0.00","Nov 16 2025"
"Actionhenk","stake1u9tura9h2ujs66754g36wa6zd6e08kvl5492j0c6tawt9vclp26kd","5","13588.99","51.03","1500.00","Nov 24 2025"